layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l2,Layer II,4,Sst,0.001928921124230833,0.10365885571323041
l2,Layer II,4,Vip,0.0027341268515241927,0.1469300414846299
l2,Layer II,5,Astro,0.0011744976385133464,0.06808956109365219
l2,Layer II,5,Chandelier,0.0007132000135163116,0.04134659304533003
l2,Layer II,5,Endo,0.0002109968527936349,0.012232194112408414
l2,Layer II,5,L2/3 IT,0.0010124253908303082,0.05869369017119707
l2,Layer II,5,Lamp5,0.0006637044620739134,0.03847717018461912
l2,Layer II,5,Lamp5_Lhx6,0.0030464663709338217,0.17661385709214278
l2,Layer II,5,Micro-PVM,0.00024690833079629677,0.014314102747423355
l2,Layer II,5,OPC,0.00048091117310626786,0.027880031111247802
l2,Layer II,5,Pax6,0.0033810487218905653,0.19601071637843592
l2,Layer II,5,Pvalb,0.0011487957294516855,0.06659953535848545
l2,Layer II,5,Sncg,5.473324227886454e-05,0.003173069337727804
l2,Layer II,5,Sst,0.0016480425283275273,0.09554254409530602
l2,Layer II,5,Vip,0.0034675750138823997,0.20102693527202398
l3,Layer III,1,Astro,0.0020174116691888755,0.03650415920584576
l3,Layer III,1,Chandelier,0.0036415990382253865,0.065893101088625
l3,Layer III,1,Endo,0.000962135505479093,0.01740941038758187
l3,Layer III,1,L2/3 IT,0.0006007760642280625,0.010870773392750404
l3,Layer III,1,L4 IT,0.004007691451052301,0.07251737908105826
l3,Layer III,1,L5 ET,0.003014972567664337,0.05455457618896745
l3,Layer III,1,L5 IT,0.0029268591108172165,0.052960202712274945
l3,Layer III,1,L5/6 NP,0.0022341440090377766,0.04042583367602502
l3,Layer III,1,L6 CT,0.0029846913038718637,0.05400665030387575
l3,Layer III,1,L6 IT,0.0025000611029435097,0.04523748420811179
l3,Layer III,1,L6 IT Car3,0.0025745877948462888,0.04658601126773661
l3,Layer III,1,L6b,0.003357553687934273,0.06075342788901675
l3,Layer III,1,Lamp5,0.0003102971530748111,0.005614687795237055
l3,Layer III,1,Lamp5_Lhx6,0.0025676699277988636,0.04646083556665344
l3,Layer III,1,Micro-PVM,0.0003376215019612906,0.006109109631484864
l3,Layer III,1,OPC,0.0014047721570862987,0.02541872204537974
l3,Layer III,1,Oligo,0.0025081237563845914,0.04538337430547261
l3,Layer III,1,Pax6,0.004759611893736988,0.08612304220331417
l3,Layer III,1,Pvalb,0.005054795827356535,0.0914642630718284
l3,Layer III,1,Sncg,0.002349802970285802,0.042518630698795384
l3,Layer III,1,Sst,0.0025761790111732065,0.046614803613402034
l3,Layer III,1,Vip,0.002573897553851849,0.04657352166656286
l3,Layer III,2,Astro,0.00030912686919545824,0.00676356986490951
l3,Layer III,2,Chandelier,0.0028160004648265908,0.061612942068227476
l3,Layer III,2,Endo,0.0004625928374550709,0.010121342681330626
l3,Layer III,2,L2/3 IT,0.00023804040825844953,0.005208227082032184
l3,Layer III,2,L4 IT,0.003584299346548348,0.07842300835971923
l3,Layer III,2,L5 ET,0.002339704603689772,0.05119178281555439
l3,Layer III,2,L5 IT,0.0024850063440978757,0.05437092565519466
l3,Layer III,2,L5/6 NP,0.0026879422225818722,0.058811079938112826
l3,Layer III,2,L6 CT,0.002096559184325946,0.04587186017188366
l3,Layer III,2,L6 IT,0.0032309383587152884,0.0706916140135643
l3,Layer III,2,L6 IT Car3,0.0035174545767963925,0.07696047205060506
